English name of Language,ISO 639-1 Code,ISO 639-2 Code
"Abkhazian","ab","abk"
"Achinese","","ace"
"Acoli","","ach"
"Adangme","","ada"
"Adyghe; Adygei","","ady"
"Afar","aa","aar"
"Afrihili","","afh"
"Afrikaans","af","afr"
"Afro-Asiatic languages","","afa"
"Ainu","","ain"
"Akan","ak","aka"
"Akkadian","","akk"
"Albanian","sq","alb"
"Aleut","","ale"
"Algonquian languages","","alg"
"Altaic languages","","tut"
"Amharic","am","amh"
"Angika","","anp"
"Apache languages","","apa"
"Arabic","ar","ara"
"Aragonese","an","arg"
"Arapaho","","arp"
"Arawak","","arw"
"Armenian","hy","arm"
"Aromanian; Arumanian; Macedo-Romanian","","rup"
"Artificial languages","","art"
"Assamese","as","asm"
"Asturian; Bable; Leonese; Asturleonese","","ast"
"Athapascan languages","","ath"
"Australian languages","","aus"
"Austronesian languages","","map"
"Avaric","av","ava"
"Avestan","ae","ave"
"Awadhi","","awa"
"Aymara","ay","aym"
"Azerbaijani","az","aze"
"Balinese","","ban"
"Baltic languages","","bat"
"Baluchi","","bal"
"Bambara","bm","bam"
"Bamileke languages","","bai"
"Banda languages","","bad"
"Bantu languages","","bnt"
"Basa","","bas"
"Bashkir","ba","bak"
"Basque","eu","baq"
"Batak languages","","btk"
"Beja; Bedawiyet","","bej"
"Belarusian","be","bel"
"Bemba","","bem"
"Bengali","bn","ben"
"Berber languages","","ber"
"Bhojpuri","","bho"
"Bihari languages","bh","bih"
"Bikol","","bik"
"Bini; Edo","","bin"
"Bislama","bi","bis"
"Blin; Bilin","","byn"
"Blissymbols; Blissymbolics; Bliss","","zbl"
"Bokmal, Norwegian; Norwegian Bokmal","nb","nob"
"Bosnian","bs","bos"
"Braj","","bra"
"Breton","br","bre"
"Buginese","","bug"
"Bulgarian","bg","bul"
"Buriat","","bua"
"Burmese","my","bur"
"Caddo","","cad"
"Catalan; Valencian","ca","cat"
"Caucasian languages","","cau"
"Cebuano","","ceb"
"Celtic languages","","cel"
"Central American Indian languages","","cai"
"Central Khmer","km","khm"
"Chagatai","","chg"
"Chamic languages","","cmc"
"Chamorro","ch","cha"
"Chechen","ce","che"
"Cherokee","","chr"
"Cheyenne","","chy"
"Chibcha","","chb"
"Chichewa; Chewa; Nyanja","ny","nya"
"Chinese","zh","chi"
"Chinook jargon","","chn"
"Chipewyan; Dene Suline","","chp"
"Choctaw","","cho"
"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","cu","chu"
"Chuukese","","chk"
"Chuvash","cv","chv"
"Classical Newari; Old Newari; Classical Nepal Bhasa","","nwc"
"Classical Syriac","","syc"
"Coptic","","cop"
"Cornish","kw","cor"
"Corsican","co","cos"
"Cree","cr","cre"
"Creek","","mus"
"Creoles and pidgins","","crp"
"Creoles and pidgins, English based","","cpe"
"Creoles and pidgins, French-based","","cpf"
"Creoles and pidgins, Portuguese-based","","cpp"
"Crimean Tatar; Crimean Turkish","","crh"
"Croatian","hr","hrv"
"Cushitic languages","","cus"
"Czech","cs","cze"
"Dakota","","dak"
"Danish","da","dan"
"Dargwa","","dar"
"Delaware","","del"
"Dinka","","din"
"Divehi; Dhivehi; Maldivian","dv","div"
"Dogri","","doi"
"Dogrib","","dgr"
"Dravidian languages","","dra"
"Duala","","dua"
"Dutch, Middle (ca.1050-1350)","","dum"
"Dutch; Flemish","nl","dut"
"Dyula","","dyu"
"Dzongkha","dz","dzo"
"Eastern Frisian","","frs"
"Efik","","efi"
"Egyptian (Ancient)","","egy"
"Ekajuk","","eka"
"Elamite","","elx"
"English","en","eng"
"English, Middle (1100-1500)","","enm"
"English, Old (ca.450-1100)","","ang"
"Erzya","","myv"
"Esperanto","eo","epo"
"Estonian","et","est"
"Ewe","ee","ewe"
"Ewondo","","ewo"
"Fang","","fan"
"Fanti","","fat"
"Faroese","fo","fao"
"Fijian","fj","fij"
"Filipino; Pilipino","","fil"
"Finnish","fi","fin"
"Finno-Ugrian languages","","fiu"
"Fon","","fon"
"French","fr","fre"
"French, Middle (ca.1400-1600)","","frm"
"French, Old (842-ca.1400)","","fro"
"Friulian","","fur"
"Fulah","ff","ful"
"Ga","","gaa"
"Gaelic; Scottish Gaelic","gd","gla"
"Galibi Carib","","car"
"Galician","gl","glg"
"Ganda","lg","lug"
"Gayo","","gay"
"Gbaya","","gba"
"Geez","","gez"
"Georgian","ka","geo"
"German","de","ger"
"German, Middle High (ca.1050-1500)","","gmh"
"German, Old High (ca.750-1050)","","goh"
"Germanic languages","","gem"
"Gilbertese","","gil"
"Gondi","","gon"
"Gorontalo","","gor"
"Gothic","","got"
"Grebo","","grb"
"Greek, Ancient (to 1453)","","grc"
"Greek, Modern (1453-)","el","gre"
"Guarani","gn","grn"
"Gujarati","gu","guj"
"Gwich'in","","gwi"
"Haida","","hai"
"Haitian; Haitian Creole","ht","hat"
"Hausa","ha","hau"
"Hawaiian","","haw"
"Hebrew","he","heb"
"Herero","hz","her"
"Hiligaynon","","hil"
"Himachali languages; Western Pahari languages","","him"
"Hindi","hi","hin"
"Hiri Motu","ho","hmo"
"Hittite","","hit"
"Hmong; Mong","","hmn"
"Hungarian","hu","hun"
"Hupa","","hup"
"Iban","","iba"
"Icelandic","is","ice"
"Ido","io","ido"
"Igbo","ig","ibo"
"Ijo languages","","ijo"
"Iloko","","ilo"
"Inari Sami","","smn"
"Indic languages","","inc"
"Indo-European languages","","ine"
"Indonesian","id","ind"
"Ingush","","inh"
"Interlingua (International Auxiliary Language Association)","ia","ina"
"Interlingue; Occidental","ie","ile"
"Inuktitut","iu","iku"
"Inupiaq","ik","ipk"
"Iranian languages","","ira"
"Irish","ga","gle"
"Irish, Middle (900-1200)","","mga"
"Irish, Old (to 900)","","sga"
"Iroquoian languages","","iro"
"Italian","it","ita"
"Japanese","ja","jpn"
"Javanese","jv","jav"
"Judeo-Arabic","","jrb"
"Judeo-Persian","","jpr"
"Kabardian","","kbd"
"Kabyle","","kab"
"Kachin; Jingpho","","kac"
"Kalaallisut; Greenlandic","kl","kal"
"Kalmyk; Oirat","","xal"
"Kamba","","kam"
"Kannada","kn","kan"
"Kanuri","kr","kau"
"Kara-Kalpak","","kaa"
"Karachay-Balkar","","krc"
"Karelian","","krl"
"Karen languages","","kar"
"Kashmiri","ks","kas"
"Kashubian","","csb"
"Kawi","","kaw"
"Kazakh","kk","kaz"
"Khasi","","kha"
"Khoisan languages","","khi"
"Khotanese; Sakan","","kho"
"Kikuyu; Gikuyu","ki","kik"
"Kimbundu","","kmb"
"Kinyarwanda","rw","kin"
"Kirghiz; Kyrgyz","ky","kir"
"Klingon; tlhIngan-Hol","","tlh"
"Komi","kv","kom"
"Kongo","kg","kon"
"Konkani","","kok"
"Korean","ko","kor"
"Kosraean","","kos"
"Kpelle","","kpe"
"Kru languages","","kro"
"Kuanyama; Kwanyama","kj","kua"
"Kumyk","","kum"
"Kurdish","ku","kur"
"Kurukh","","kru"
"Kutenai","","kut"
"Ladino","","lad"
"Lahnda","","lah"
"Lamba","","lam"
"Land Dayak languages","","day"
"Lao","lo","lao"
"Latin","la","lat"
"Latvian","lv","lav"
"Lezghian","","lez"
"Limburgan; Limburger; Limburgish","li","lim"
"Lingala","ln","lin"
"Lithuanian","lt","lit"
"Lojban","","jbo"
"Low German; Low Saxon; German, Low; Saxon, Low","","nds"
"Lower Sorbian","","dsb"
"Lozi","","loz"
"Luba-Katanga","lu","lub"
"Luba-Lulua","","lua"
"Luiseno","","lui"
"Lule Sami","","smj"
"Lunda","","lun"
"Luo (Kenya and Tanzania)","","luo"
"Lushai","","lus"
"Luxembourgish; Letzeburgesch","lb","ltz"
"Macedonian","mk","mac"
"Madurese","","mad"
"Magahi","","mag"
"Maithili","","mai"
"Makasar","","mak"
"Malagasy","mg","mlg"
"Malay","ms","may"
"Malayalam","ml","mal"
"Maltese","mt","mlt"
"Manchu","","mnc"
"Mandar","","mdr"
"Mandingo","","man"
"Manipuri","","mni"
"Manobo languages","","mno"
"Manx","gv","glv"
"Maori","mi","mao"
"Mapudungun; Mapuche","","arn"
"Marathi","mr","mar"
"Mari","","chm"
"Marshallese","mh","mah"
"Marwari","","mwr"
"Masai","","mas"
"Mayan languages","","myn"
"Mende","","men"
"Mi'kmaq; Micmac","","mic"
"Minangkabau","","min"
"Mirandese","","mwl"
"Mohawk","","moh"
"Moksha","","mdf"
"Mon-Khmer languages","","mkh"
"Mongo","","lol"
"Mongolian","mn","mon"
"Montenegrin","","cnr"
"Mossi","","mos"
"Multiple languages","","mul"
"Munda languages","","mun"
"N'Ko","","nqo"
"Nahuatl languages","","nah"
"Nauru","na","nau"
"Navajo; Navaho","nv","nav"
"Ndebele, North; North Ndebele","nd","nde"
"Ndebele, South; South Ndebele","nr","nbl"
"Ndonga","ng","ndo"
"Neapolitan","","nap"
"Nepal Bhasa; Newari","","new"
"Nepali","ne","nep"
"Nias","","nia"
"Niger-Kordofanian languages","","nic"
"Nilo-Saharan languages","","ssa"
"Niuean","","niu"
"No linguistic content; Not applicable","","zxx"
"Nogai","","nog"
"Norse, Old","","non"
"North American Indian languages","","nai"
"Northern Frisian","","frr"
"Northern Sami","se","sme"
"Norwegian","no","nor"
"Norwegian Nynorsk; Nynorsk, Norwegian","nn","nno"
"Nubian languages","","nub"
"Nyamwezi","","nym"
"Nyankole","","nyn"
"Nyoro","","nyo"
"Nzima","","nzi"
"Occitan (post 1500)","oc","oci"
"Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)","","arc"
"Ojibwa","oj","oji"
"Oriya","or","ori"
"Oromo","om","orm"
"Osage","","osa"
"Ossetian; Ossetic","os","oss"
"Otomian languages","","oto"
"Pahlavi","","pal"
"Palauan","","pau"
"Pali","pi","pli"
"Pampanga; Kapampangan","","pam"
"Pangasinan","","pag"
"Panjabi; Punjabi","pa","pan"
"Papiamento","","pap"
"Papuan languages","","paa"
"Pedi; Sepedi; Northern Sotho","","nso"
"Persian","fa","per"
"Persian, Old (ca.600-400 B.C.)","","peo"
"Philippine languages","","phi"
"Phoenician","","phn"
"Pohnpeian","","pon"
"Polish","pl","pol"
"Portuguese","pt","por"
"Prakrit languages","","pra"
"Provencal, Old (to 1500);Occitan, Old (to 1500)","","pro"
"Pushto; Pashto","ps","pus"
"Quechua","qu","que"
"Rajasthani","","raj"
"Rapanui","","rap"
"Rarotongan; Cook Islands Maori","","rar"
"Reserved for local use","","qaa-qtz"
"Romance languages","","roa"
"Romanian; Moldavian; Moldovan","ro","rum"
"Romansh","rm","roh"
"Romany","","rom"
"Rundi","rn","run"
"Russian","ru","rus"
"Salishan languages","","sal"
"Samaritan Aramaic","","sam"
"Sami languages","","smi"
"Samoan","sm","smo"
"Sandawe","","sad"
"Sango","sg","sag"
"Sanskrit","sa","san"
"Santali","","sat"
"Sardinian","sc","srd"
"Sasak","","sas"
"Scots","","sco"
"Selkup","","sel"
"Semitic languages","","sem"
"Serbian","sr","srp"
"Serer","","srr"
"Shan","","shn"
"Shona","sn","sna"
"Sichuan Yi; Nuosu","ii","iii"
"Sicilian","","scn"
"Sidamo","","sid"
"Sign Languages","","sgn"
"Siksika","","bla"
"Sindhi","sd","snd"
"Sinhala; Sinhalese","si","sin"
"Sino-Tibetan languages","","sit"
"Siouan languages","","sio"
"Skolt Sami","","sms"
"Slave (Athapascan)","","den"
"Slavic languages","","sla"
"Slovak","sk","slo"
"Slovenian","sl","slv"
"Sogdian","","sog"
"Somali","so","som"
"Songhai languages","","son"
"Soninke","","snk"
"Sorbian languages","","wen"
"Sotho, Southern","st","sot"
"South American Indian languages","","sai"
"Southern Altai","","alt"
"Southern Sami","","sma"
"Spanish; Castilian","es","spa"
"Sranan Tongo","","srn"
"Standard Moroccan Tamazight","","zgh"
"Sukuma","","suk"
"Sumerian","","sux"
"Sundanese","su","sun"
"Susu","","sus"
"Swahili","sw","swa"
"Swati","ss","ssw"
"Swedish","sv","swe"
"Swiss German; Alemannic; Alsatian","","gsw"
"Syriac","","syr"
"Tagalog","tl","tgl"
"Tahitian","ty","tah"
"Tai languages","","tai"
"Tajik","tg","tgk"
"Tamashek","","tmh"
"Tamil","ta","tam"
"Tatar","tt","tat"
"Telugu","te","tel"
"Tereno","","ter"
"Tetum","","tet"
"Thai","th","tha"
"Tibetan","bo","tib"
"Tigre","","tig"
"Tigrinya","ti","tir"
"Timne","","tem"
"Tiv","","tiv"
"Tlingit","","tli"
"Tok Pisin","","tpi"
"Tokelau","","tkl"
"Tonga (Nyasa)","","tog"
"Tonga (Tonga Islands)","to","ton"
"Tsimshian","","tsi"
"Tsonga","ts","tso"
"Tswana","tn","tsn"
"Tumbuka","","tum"
"Tupi languages","","tup"
"Turkish","tr","tur"
"Turkish, Ottoman (1500-1928)","","ota"
"Turkmen","tk","tuk"
"Tuvalu","","tvl"
"Tuvinian","","tyv"
"Twi","tw","twi"
"Udmurt","","udm"
"Ugaritic","","uga"
"Uighur; Uyghur","ug","uig"
"Ukrainian","uk","ukr"
"Umbundu","","umb"
"Uncoded languages","","mis"
"Undetermined","","und"
"Upper Sorbian","","hsb"
"Urdu","ur","urd"
"Uzbek","uz","uzb"
"Vai","","vai"
"Venda","ve","ven"
"Vietnamese","vi","vie"
"Volapuk","vo","vol"
"Votic","","vot"
"Wakashan languages","","wak"
"Walloon","wa","wln"
"Waray","","war"
"Washo","","was"
"Welsh","cy","wel"
"Western Frisian","fy","fry"
"Wolaitta; Wolaytta","","wal"
"Wolof","wo","wol"
"Xhosa","xh","xho"
"Yakut","","sah"
"Yao","","yao"
"Yapese","","yap"
"Yiddish","yi","yid"
"Yoruba","yo","yor"
"Yupik languages","","ypk"
"Zande languages","","znd"
"Zapotec","","zap"
"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki","","zza"
"Zenaga","","zen"
"Zhuang; Chuang","za","zha"
"Zulu","zu","zul"
"Zuni","","zun"